Ticker,Company,Market Cap,Overall Rating,Sector,Industry,Country,Valuation Grade,Profitability Grade,Growth Grade,Performance Grade,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Earnings,Price,Target Price,Percent Diff
DHHC,DiamondHead Holdings Corp.,134.21M,67.27,Financial,Shell Companies,USA,A,C-,D+,B+,-,-,-,1.30,-,-,-,0.00%,-,-,-,-,-,-142.20%,-,28.15%,51.71%,93.80%,10.18%,0.18,1.40%,1.40%,-,0.10,0.10,0.00,0.00,-,-,-,1.68%,3.00%,4.36%,5.42%,2.49%,0.50%,1.84%,2.03%,3.81%,-6.28%,5.53%,65.90,-,10.30,-,
DHHCU,DiamondHead Holdings Corp.,131.77M,62.56,Financial,Shell Companies,USA,A+,D+,D+,C+,-,-,-,-,-,-,-,0.00%,-,-,-,-,-,-,-,-,-,1.02%,-,0.00,-,-,-,-,-,-,-,-,-,-,0.90%,2.43%,2.74%,1.20%,0.70%,1.44%,-0.75%,0.71%,2.06%,-8.00%,4.92%,49.17,-,10.12,-,
DHI,"D.R. Horton, Inc.",31.52B,74.4,Consumer Cyclical,Residential Construction,USA,B+,B+,C-,B-,9.97,-,0.94,1.60,12.16,29.24,1.07%,5.70%,44.60%,3.44%,43.20%,-9.70%,18.90%,-12.80%,2.90%,0.60%,-1.83%,87.30%,0.09%,4.96,19.50%,30.50%,23.20%,-,-,0.18,0.28,30.90%,22.00%,16.80%,-4.47%,10.71%,34.00%,17.11%,5.22%,2.30%,-0.73%,-0.59%,17.66%,-9.94%,58.30%,50.26,Jan 24/b,93.79,109.40,16.643565412090837
DHIL,"Diamond Hill Investment Group, Inc.",536.88M,61.63,Financial,Asset Management,USA,B,B+,D+,C-,-,-,3.47,3.22,8.49,61.71,3.43%,45.80%,-44.20%,-,-3.50%,-,1.20%,-13.00%,-18.80%,0.60%,-7.53%,65.60%,-4.05%,2.31,16.10%,23.60%,30.70%,-,-,0.00,0.00,97.90%,41.70%,26.20%,-6.48%,-1.40%,2.51%,-8.78%,-5.48%,2.29%,-3.97%,-4.60%,-0.78%,-9.48%,11.58%,39.65,-,174.88,-,
DHR,Danaher Corporation,178.08B,67.77,Healthcare,Diagnostics & Research,USA,C+,B+,C,C+,22.42,7.73,5.66,3.73,29.70,27.19,0.44%,9.80%,13.70%,10.13%,25.70%,3.31%,15.20%,25.20%,2.70%,0.20%,-3.44%,81.00%,-0.22%,1.44,8.60%,15.60%,11.20%,1.90,1.50,0.39,0.41,60.20%,27.60%,22.60%,-6.06%,-7.54%,-9.07%,-5.80%,-6.65%,2.03%,-2.24%,-5.08%,-6.51%,-18.45%,6.01%,41.15,Jan 24/b,247.76,302.30,22.013238618017443
DHS,WisdomTree U.S. High Dividend Fund,-,57.1,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,3.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.15%,-3.84%,2.71%,-1.47%,-1.81%,1.13%,-2.61%,-3.03%,-0.46%,-8.05%,11.54%,36.46,-,84.50,-,
DHT,"DHT Holdings, Inc.",1.85B,63.8,Energy,Oil & Gas Midstream,Bermuda,C+,D+,C+,A-,7.52,6.24,4.08,1.79,14.71,18.84,12.89%,31.60%,647.70%,56.86%,47.70%,5.00%,5.00%,-,100.40%,0.20%,0.00%,59.80%,-3.77%,2.51,4.00%,6.00%,5.00%,3.70,3.70,0.34,0.37,42.90%,16.30%,13.50%,36.46%,19.94%,45.74%,90.47%,32.77%,3.89%,6.58%,23.18%,42.95%,-2.32%,136.75%,71.38,Feb 08/a,11.79,11.98,1.6115351993214697
DHX,"DHI Group, Inc.",191.90M,69.32,Technology,Software - Application,USA,B+,B,B-,C-,30.75,3.04,1.28,1.68,-,10.66,-,0.00%,-55.60%,232.50%,-22.70%,15.10%,-6.40%,894.40%,18.10%,10.10%,0.00%,79.60%,-2.72%,3.46,1.80%,3.90%,2.80%,0.40,0.40,0.28,0.28,88.20%,2.20%,2.80%,-30.56%,-25.36%,-22.39%,-24.68%,-22.68%,4.93%,-10.70%,-20.53%,-24.63%,-45.97%,-1.45%,28.97,Feb 07/a,4.09,9.38,129.33985330073352
DHY,"Credit Suisse High Yield Bond Fund, Inc.",194.61M,52.08,Financial,Asset Management,USA,B+,D+,C-,D+,-,-,8.90,0.94,-,-,9.89%,-,-,-,-,-,-,-,12.20%,-,-,26.77%,-,0.20,-,-,-,-,-,-,-,-,-,-,-4.57%,-2.59%,-1.57%,-14.55%,6.82%,1.71%,-2.13%,-0.41%,-0.88%,-18.97%,11.90%,44.32,-,1.88,-,
DIA,SPDR Dow Jones Industrial Average ETF Trust,-,58.84,Financial,Exchange Traded Fund,USA,A+,D+,D+,C,-,-,-,-,-,-,1.94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.95%,-3.39%,5.22%,0.01%,-0.86%,1.15%,-1.80%,-2.04%,1.41%,-7.44%,14.61%,41.61,-,328.49,-,
DIAL,Columbia Diversified Fixed Income Allocation ETF,-,56.79,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,3.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.42%,-2.46%,-1.77%,-12.18%,-0.29%,0.52%,-1.32%,-2.40%,-2.26%,-12.31%,5.86%,37.48,-,17.24,-,
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund,546.96M,51.15,Financial,Closed-End Fund - Equity,USA,A-,D+,D+,D,-,-,43.72,0.95,-,-,7.63%,43.25%,-,-,-,-,-,-,6.10%,-,-,26.71%,-,0.10,-,-,-,-,-,-,-,-,-,-,-2.59%,-6.12%,-2.27%,-5.88%,-3.03%,1.27%,-2.32%,-2.84%,-2.37%,-12.15%,12.32%,38.44,-,15.04,-,
DIBS,"1stdibs.Com, Inc.",179.63M,53.01,Consumer Cyclical,Internet Retail,USA,A,C,D,D,-,-,1.86,1.16,1.14,-,-,-,-42.50%,5.00%,-,5.70%,-,-34.10%,-11.30%,0.70%,-16.01%,68.20%,3.27%,5.02,-10.40%,-13.80%,-14.30%,5.60,5.60,0.00,0.00,69.40%,-23.40%,-22.00%,-28.41%,-22.11%,-30.51%,-40.26%,-11.22%,6.55%,-13.86%,-17.77%,-25.08%,-51.08%,1.81%,32.84,Mar 01/b,4.51,6.83,51.441241685144135
DICE,"DICE Therapeutics, Inc.",1.36B,67.08,Healthcare,Biotechnology,USA,A-,C+,C-,B-,-,-,-,4.17,5.10,-,-,-,-96.20%,-25.60%,-,-,-,-20.90%,-,3.39%,103.43%,79.20%,1.54%,13.24,-24.80%,-26.80%,-15.10%,23.00,23.00,0.00,0.00,-,-,-,-6.85%,-15.71%,53.51%,79.13%,-6.76%,5.86%,-2.27%,-4.58%,16.55%,-36.75%,130.23%,44.26,-,29.09,64.43,121.48504640770025
DIG,ProShares Ultra Oil & Gas,-,62.56,Financial,Exchange Traded Fund,USA,A+,D+,D+,C+,-,-,-,-,-,-,1.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.61%,-8.87%,7.26%,12.06%,-7.86%,3.92%,-3.94%,-6.81%,-0.19%,-22.37%,58.16%,43.27,-,39.16,-,
DIHP,Dimensional International High Profitability ETF,-,66.4,Financial,Exchange Traded Fund,USA,A+,D+,D+,B,-,-,-,-,-,-,1.74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.43%,3.44%,12.95%,-,6.39%,0.98%,-0.93%,0.01%,6.51%,-8.33%,26.13%,47.24,-,23.46,-,
DIM,WisdomTree International MidCap Dividend Fund,-,67.08,Financial,Exchange Traded Fund,USA,A+,D+,D+,B+,-,-,-,-,-,-,3.73%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.68%,5.19%,11.37%,-1.03%,5.96%,0.74%,-0.38%,0.63%,5.93%,-10.40%,27.45%,49.31,-,58.78,-,
DIN,"Dine Brands Global, Inc.",1.12B,58.28,Consumer Cyclical,Restaurants,USA,B,C+,D,C+,9.66,1.51,1.21,-,4.17,48.47,2.83%,39.30%,-12.30%,10.05%,17.30%,8.94%,4.40%,-37.20%,-9.40%,0.10%,-8.24%,98.20%,-3.03%,5.33,4.10%,-26.80%,7.30%,1.00,1.00,-,-,40.70%,12.30%,8.50%,-10.21%,3.09%,11.24%,14.05%,11.72%,3.19%,-7.04%,-3.24%,1.61%,-12.45%,18.26%,39.76,Mar 01/b,72.17,86.14,19.357073576278232
DINO,HF Sinclair Corporation,9.59B,61.32,Energy,Oil & Gas Refining & Marketing,USA,A-,D+,C+,C-,7.25,0.06,0.25,1.09,5.76,2.76,3.58%,9.00%,321.50%,-24.99%,38.70%,58.80%,21.80%,-,59.80%,0.40%,-86.97%,67.50%,-5.18%,2.88,15.80%,32.60%,25.30%,2.10,1.10,0.32,0.35,19.60%,10.70%,7.60%,-4.03%,-4.19%,-5.17%,71.40%,-3.08%,3.62%,-4.90%,-5.27%,-4.91%,-24.02%,65.37%,41.73,Feb 24/b,50.29,63.45,26.16822429906543
DINT,Davis Select International ETF,-,66.09,Financial,Exchange Traded Fund,USA,A+,D+,D+,B,-,-,-,-,-,-,0.35%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.87%,5.49%,16.43%,13.66%,5.49%,1.16%,-2.84%,-2.72%,9.70%,-7.95%,36.06%,41.14,-,18.64,-,
DIOD,Diodes Incorporated,4.14B,78.24,Technology,Semiconductors,USA,B+,B+,C,B,13.33,0.85,2.07,2.76,12.04,22.90,-,0.00%,44.00%,9.22%,51.40%,15.00%,13.70%,41.30%,3.30%,0.50%,-42.80%,-,1.06%,4.72,14.60%,23.80%,20.40%,2.70,1.90,0.11,0.14,41.30%,20.40%,16.60%,0.28%,4.02%,35.50%,16.24%,20.71%,2.94%,-1.03%,4.78%,18.25%,-5.68%,57.06%,51.79,Feb 06/a,91.91,107.60,17.07104776411707
DIS,The Walt Disney Company,177.42B,64.73,Communication Services,Entertainment,USA,C+,C+,B,C+,18.00,2.65,2.10,1.88,20.95,1887.45,-,0.00%,57.80%,32.79%,-21.00%,20.64%,8.50%,11.10%,7.80%,0.06%,-5.29%,65.00%,2.30%,1.34,1.60%,3.50%,3.30%,1.00,0.90,0.47,0.50,33.40%,7.50%,3.90%,-9.62%,3.51%,-9.80%,-25.62%,14.30%,2.26%,-4.59%,-1.75%,-2.37%,-31.26%,18.12%,40.00,Feb 08/a,99.30,126.03,26.918429003021156
DISH,DISH Network Corporation,5.82B,66.28,Communication Services,Telecom Services,USA,A-,B+,C-,C-,14.43,-,0.35,0.33,2.22,15.94,-,0.00%,-4.60%,-35.81%,15.30%,-,3.00%,69.70%,-9.10%,0.40%,108.31%,82.90%,-0.81%,5.47,4.60%,13.70%,3.30%,0.80,0.70,1.10,1.19,31.80%,12.30%,13.80%,-23.60%,-22.60%,-32.77%,-62.00%,-20.23%,4.92%,-13.35%,-19.34%,-30.91%,-66.80%,5.26%,34.82,Feb 23/b,11.20,28.80,157.14285714285717
DISTU,Distoken Acquisition Corporatio,66.39M,64.91,Financial,Shell Companies,China,A-,C-,C,B-,-,-,-,930.00,-,-,-,-,100.00%,-,-,-,-,-,-,-,-,-,-,-,-0.60%,-7.80%,-,0.00,0.00,-,-,-,-,-,-,-,-,-,0.39%,-,0.24%,0.24%,0.24%,0.00%,0.49%,-,-,10.23,-,
DISV,Dimensional International Small Cap Value ETF,-,68.76,Financial,Exchange Traded Fund,USA,A+,D+,D+,B+,-,-,-,-,-,-,1.97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27%,8.65%,19.03%,-,8.26%,1.09%,-0.04%,1.40%,10.26%,-4.92%,32.41%,51.19,-,24.05,-,
DIT,AMCON Distributing Company,101.65M,70.49,Consumer Defensive,Food Distribution,USA,A,C+,C+,C+,-,-,0.05,1.04,203.29,-,0.43%,2.50%,4.50%,-,46.30%,-,9.50%,-14.00%,33.90%,70.40%,0.00%,10.00%,3.45%,1.48,5.90%,18.20%,8.40%,4.10,1.10,1.57,1.59,6.30%,1.10%,0.80%,-0.93%,-0.57%,-5.68%,-1.02%,-6.40%,3.19%,1.68%,-1.91%,-5.13%,-30.24%,16.79%,50.66,Jan 18/a,169.41,-,
DIV,Global X SuperDividend U.S. ETF,-,57.78,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,6.91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-6.60%,-6.65%,-8.32%,-12.72%,-4.42%,1.15%,-3.91%,-5.31%,-7.29%,-17.77%,3.37%,24.13,-,17.96,-,
DIVB,iShares U.S. Dividend and Buyback ETF,-,57.41,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,2.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.69%,-2.73%,1.89%,-5.25%,0.61%,1.12%,-2.08%,-1.99%,0.01%,-11.53%,13.20%,39.97,-,37.74,-,
DIVO,Amplify CWP Enhanced Dividend Income ETF,-,58.22,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,4.85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.23%,-3.83%,2.27%,-2.06%,-2.04%,1.06%,-1.33%,-1.95%,0.18%,-8.35%,9.85%,40.81,-,35.13,-,
DIVS,SmartETFs Dividend Builder ETF,-,62.06,Financial,Exchange Traded Fund,USA,A+,D+,D+,C+,-,-,-,-,-,-,5.86%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.02%,-0.67%,2.59%,-3.06%,1.24%,0.60%,-0.70%,-0.77%,0.16%,-10.80%,13.72%,45.60,-,23.38,-,
DIVZ,TrueShares Low Volatility Equity Income ETF,-,55.43,Financial,Exchange Traded Fund,USA,A+,D+,D+,D+,-,-,-,-,-,-,3.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.92%,-5.09%,-1.10%,-6.50%,-3.00%,0.82%,-2.45%,-3.14%,-2.38%,-9.80%,8.62%,35.44,-,28.09,-,
DJAN,FT Cboe Vest US Eq Deep Buffer ETF - January,-,61.01,Financial,Exchange Traded Fund,USA,A+,D+,D+,C+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.33%,-0.11%,-0.36%,-3.66%,0.51%,0.52%,-0.61%,-0.24%,-0.38%,-7.27%,2.90%,45.64,-,30.53,-,
DJCO,Daily Journal Corporation,391.69M,65.53,Technology,Software - Application,USA,A-,C,C,C+,-,-,7.15,1.90,1.22,-,-,-,-167.00%,-,37.91%,-,5.50%,159.90%,5.10%,12.90%,0.00%,45.80%,5.94%,4.15,-18.00%,-31.00%,11.30%,10.80,10.80,0.42,0.42,91.00%,2.30%,-,-10.85%,0.38%,4.14%,-13.15%,8.58%,1.75%,-8.59%,-7.53%,-0.52%,-13.93%,15.25%,36.56,-,272.01,-,
DJD,Invesco Dow Jones Industrial Average Dividend ETF,-,56.17,Financial,Exchange Traded Fund,USA,A+,D+,D+,D+,-,-,-,-,-,-,3.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-3.79%,-5.52%,4.03%,-5.30%,-2.43%,1.12%,-2.17%,-3.27%,-0.90%,-11.48%,13.93%,36.52,-,42.60,-,
DJIA,Global X Dow 30 Covered Call ETF,-,59.89,Financial,Exchange Traded Fund,USA,A+,D+,D+,C,-,-,-,-,-,-,10.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.76%,-0.50%,1.89%,-8.28%,2.27%,1.20%,-0.66%,0.11%,-0.82%,-14.89%,9.37%,47.62,-,22.06,-,
DJP,iPath Bloomberg Commodity Index Total Return(SM) ETN,-,58.96,Financial,Exchange Traded Fund,USA,A+,D+,D+,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.41%,-5.00%,-9.76%,-20.59%,-6.97%,1.06%,-2.06%,-3.99%,-9.61%,-24.81%,0.53%,39.40,-,31.36,-,
DJUN,FT Cboe Vest US Eq Deep Buffer ETF - June,-,63.98,Financial,Exchange Traded Fund,USA,A+,D+,D+,B-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1.22%,1.59%,3.63%,-0.01%,3.15%,0.48%,-0.58%,0.46%,2.76%,-3.64%,8.68%,48.51,-,33.33,-,
DK,"Delek US Holdings, Inc.",1.62B,49.91,Energy,Oil & Gas Refining & Marketing,USA,B-,D+,C+,D+,10.91,69.85,0.08,1.79,1.93,16.32,3.59%,11.50%,307.30%,-39.92%,15.30%,0.10%,22.70%,-856.40%,44.10%,0.60%,0.00%,96.10%,-1.31%,4.47,3.10%,24.70%,10.60%,1.20,0.70,3.16,3.24,9.40%,2.40%,1.30%,-3.16%,-10.08%,-15.06%,37.49%,-9.11%,3.93%,-6.15%,-5.98%,-11.44%,-30.78%,39.82%,38.82,Feb 28/b,24.54,32.18,31.132844335778326
DKL,"Delek Logistics Partners, LP",2.19B,53.2,Energy,Oil & Gas Refining & Marketing,USA,C+,D+,C-,C+,8.88,1.07,2.11,-,273.83,144.12,7.99%,107.50%,-3.60%,15.95%,11.80%,13.08%,14.00%,2.30%,41.70%,0.20%,-41.48%,12.50%,11.26%,7.18,10.90%,-142.00%,13.50%,0.60,0.60,-,-,24.10%,20.20%,15.30%,9.22%,5.39%,-15.87%,24.94%,12.80%,4.31%,5.74%,6.42%,-1.15%,-20.83%,30.87%,60.90,Feb 28/b,51.04,48.00,-5.9561128526645755
DKNG,DraftKings Inc.,8.63B,74.4,Consumer Cyclical,Gambling,USA,B+,C-,B,B+,-,-,3.85,6.66,4.85,-,-,-,16.60%,49.30%,-,35.40%,63.50%,32.60%,80.70%,2.10%,-14.78%,58.20%,2.14%,2.23,-34.20%,-93.30%,-56.10%,1.70,1.70,0.95,0.95,33.80%,-67.50%,-61.50%,15.52%,32.03%,24.87%,8.48%,71.91%,5.54%,7.15%,27.08%,31.58%,-9.44%,100.41%,64.43,Feb 16/a,19.58,24.05,22.82941777323801
DKS,"DICK'S Sporting Goods, Inc.",12.24B,78.49,Consumer Cyclical,Specialty Retail,USA,B,B+,C,A,12.45,-,1.01,4.90,8.51,90.83,1.30%,12.40%,142.30%,0.58%,40.20%,-2.90%,9.20%,-15.10%,7.70%,1.20%,-3.85%,99.81%,-2.07%,6.68,12.70%,52.20%,38.70%,1.80,0.60,0.69,0.69,36.10%,13.40%,9.50%,11.05%,29.94%,41.56%,50.48%,24.47%,2.43%,14.25%,17.48%,38.92%,1.93%,135.98%,80.91,Mar 07/b,149.73,137.75,-8.001068590128893
DLA,"Delta Apparel, Inc.",91.38M,64.42,Consumer Cyclical,Apparel Manufacturing,USA,A-,C-,C+,C+,11.90,0.52,0.19,0.53,304.61,-,-,0.00%,-2.10%,251.30%,16.00%,15.00%,4.70%,-199.60%,-3.10%,1.90%,15.99%,58.40%,-3.94%,1.19,2.50%,6.90%,7.80%,2.50,0.50,0.93,1.03,20.70%,4.80%,2.60%,18.44%,8.49%,-22.40%,-48.73%,28.93%,4.56%,11.14%,14.77%,-22.94%,-58.29%,41.61%,67.78,Feb 07/a,13.68,13.00,-4.970760233918127
DLB,"Dolby Laboratories, Inc.",7.88B,59.21,Industrials,Specialty Business Services,USA,D+,B+,C-,B-,21.60,2.80,6.37,3.47,10.38,39.02,1.31%,54.50%,-39.10%,11.50%,-2.00%,16.00%,3.00%,6.10%,-4.70%,0.40%,-39.75%,95.30%,-3.99%,2.30,6.40%,7.70%,7.80%,4.60,4.60,0.00,0.00,88.40%,17.00%,14.80%,-1.42%,9.36%,14.70%,16.52%,17.28%,1.44%,-0.55%,5.01%,11.88%,-6.05%,34.41%,55.56,Feb 02/a,82.73,90.00,8.78762238607518
DLHC,DLH Holdings Corp.,169.82M,58.59,Industrials,Specialty Business Services,USA,B+,C,C,D+,12.74,0.69,0.54,1.69,121.30,-,-,0.00%,120.10%,25.00%,43.90%,15.50%,27.90%,-80.20%,-52.40%,12.30%,0.30%,60.70%,-2.27%,1.07,7.40%,18.80%,22.70%,0.90,0.90,1.65,1.93,21.50%,8.20%,5.40%,-4.21%,-2.75%,-16.02%,-23.07%,7.37%,4.00%,-0.96%,4.11%,-9.51%,-35.41%,18.39%,50.94,Feb 08/a,12.74,21.00,64.83516483516483
DLN,WisdomTree U.S. LargeCap Dividend Fund,-,58.22,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,2.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.86%,-3.16%,2.48%,-2.78%,-0.73%,1.05%,-1.84%,-1.94%,0.29%,-8.81%,12.21%,40.94,-,61.50,-,
DLNG,Dynagas LNG Partners LP,113.32M,51.4,Energy,Oil & Gas Midstream,Greece,B+,D+,D,C,3.44,2.40,0.86,0.39,1.16,-,-,0.00%,80.60%,27.54%,-7.60%,1.00%,-4.10%,-34.80%,-13.80%,52.06%,0.00%,21.60%,-1.67%,0.08,-,-,7.90%,4.90,-,1.83,0.00,75.10%,-,-,0.00%,2.36%,-17.21%,3.06%,15.65%,4.12%,-1.16%,4.00%,-5.04%,-32.52%,45.67%,50.39,Dec 12/b,3.03,4.00,32.013201320132026
DLO,DLocal Limited,4.66B,77.13,Technology,Software - Infrastructure,Uruguay,B-,A-,A-,C,25.00,0.87,12.36,12.03,8.57,19.90,-,0.00%,162.00%,50.61%,-,49.60%,-,65.10%,63.10%,9.32%,0.00%,91.10%,0.09%,5.63,16.10%,34.40%,26.30%,1.70,1.70,0.01,0.05,49.40%,33.50%,30.00%,-6.72%,19.29%,-35.99%,-42.52%,-1.09%,3.65%,-1.86%,-3.04%,-28.22%,-57.17%,70.48%,47.90,-,15.40,19.33,25.519480519480503
DLPN,"Dolphin Entertainment, Inc.",19.11M,57.78,Communication Services,Advertising Agencies,USA,A,C-,C,D,-,-,0.48,0.65,4.25,-,-,-,-145.90%,92.90%,55.40%,-,30.60%,-873.30%,5.30%,14.50%,0.00%,11.60%,24.68%,0.80,-7.80%,-15.80%,-8.80%,1.10,1.10,0.15,0.17,89.60%,-14.20%,-10.50%,-13.91%,-16.67%,-50.63%,-48.82%,7.73%,8.02%,-5.96%,-8.70%,-37.48%,-70.00%,17.12%,43.64,-,1.95,7.00,258.974358974359
DLR,"Digital Realty Trust, Inc.",29.96B,49.35,Real Estate,REIT - Specialty,USA,B-,D+,D+,C,82.20,-,6.39,1.82,211.27,-,4.61%,409.00%,-80.90%,22.81%,2.70%,-,13.80%,-100.60%,11.00%,0.11%,-0.39%,98.40%,0.99%,5.19,0.90%,2.00%,1.50%,-,-,0.98,0.98,60.10%,11.50%,7.20%,-7.53%,-3.09%,-11.32%,-22.28%,5.51%,2.86%,-2.41%,-1.23%,-7.58%,-31.08%,23.36%,46.88,Feb 16/a,105.79,120.17,13.592967199168157
DLS,WisdomTree International SmallCap Dividend Fund,-,66.9,Financial,Exchange Traded Fund,USA,A+,D+,D+,B+,-,-,-,-,-,-,4.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.16%,5.76%,9.79%,-3.37%,6.82%,0.92%,-0.06%,1.14%,5.46%,-11.52%,23.75%,50.83,-,61.91,-,
DLTH,Duluth Holdings Inc.,201.53M,64.29,Consumer Cyclical,Apparel Retail,USA,A,C+,B-,D,-,0.67,0.30,0.91,21.44,-,-,0.00%,117.00%,-100.00%,6.50%,25.00%,13.20%,-321.40%,1.20%,1.20%,0.00%,30.40%,-0.41%,6.99,2.40%,5.40%,11.60%,1.70,0.20,0.29,0.35,53.50%,2.90%,1.80%,-9.52%,-1.90%,-20.57%,-50.52%,0.00%,3.82%,-0.43%,-1.41%,-24.72%,-56.63%,9.57%,48.09,Mar 09/b,6.18,7.50,21.35922330097088
DLTR,"Dollar Tree, Inc.",30.81B,64.6,Consumer Defensive,Discount Stores,USA,B-,B-,C+,C+,17.28,1.24,1.09,3.81,70.17,18.51,-,0.00%,2.50%,17.72%,8.90%,15.86%,4.90%,24.20%,8.10%,0.10%,0.00%,-,1.32%,4.82,7.00%,19.20%,13.50%,1.40,0.20,0.41,0.46,31.50%,7.50%,5.50%,-6.13%,-4.15%,2.46%,0.60%,0.19%,2.46%,-3.32%,-3.25%,-6.30%,-20.02%,13.59%,41.59,Mar 01/b,141.71,161.43,13.915743419659869
DLX,Deluxe Corporation,762.18M,65.66,Communication Services,Advertising Agencies,USA,B+,B-,C,C-,5.86,1.58,0.34,1.28,18.87,22.22,6.70%,79.10%,3.20%,1.19%,-18.90%,7.50%,2.60%,36.60%,-1.20%,0.20%,0.00%,92.00%,-2.75%,6.50,2.20%,11.00%,6.60%,0.90,0.90,2.60,2.72,53.90%,7.60%,2.90%,-10.14%,-5.54%,-2.13%,-43.85%,5.42%,3.13%,-5.09%,-5.44%,-9.88%,-46.68%,17.01%,40.41,Feb 02/b,17.90,27.33,52.68156424581005
DLY,DoubleLine Yield Opportunities Fund,690.42M,61.19,Financial,Closed-End Fund - Debt,USA,A+,D+,D+,C+,-,-,-,-,-,-,9.73%,-,-,-,-,-,-,-,-,-,-,25.14%,-,0.16,-,-,-,-,-,-,-,-,-,-,-0.14%,3.37%,-1.71%,-15.99%,9.76%,1.17%,1.35%,1.55%,1.32%,-18.46%,11.71%,55.23,-,14.40,-,
DM,"Desktop Metal, Inc.",714.14M,70.0,Technology,Computer Hardware,USA,A-,C,C+,B-,-,-,3.48,1.49,3.87,-,-,-,-155.20%,13.60%,-,46.00%,-,-299.00%,6.90%,6.60%,-0.14%,49.80%,6.01%,15.21,-69.90%,-87.50%,-114.00%,4.00,2.90,0.21,0.21,9.40%,-,-,20.39%,32.62%,-18.42%,-29.94%,82.35%,9.72%,36.64%,45.05%,10.07%,-53.03%,119.47%,69.85,Mar 01/a,2.48,2.98,20.161290322580648
DMAC,DiaMedica Therapeutics Inc.,49.52M,79.98,Healthcare,Biotechnology,USA,A,C+,B-,B+,-,-,-,1.38,1.37,-,-,-,16.50%,-53.80%,-6.90%,30.00%,-,36.20%,-,1.80%,72.67%,18.50%,-14.31%,0.83,-32.10%,-33.40%,-,23.70,23.70,0.00,0.00,-,-,-,38.64%,39.69%,31.65%,-25.31%,15.82%,6.28%,12.62%,17.80%,14.58%,-40.17%,63.39%,65.67,-,1.83,8.00,337.1584699453552
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc.",199.48M,55.24,Financial,Asset Management,USA,A-,D+,D+,C,-,-,12.76,0.88,-,-,4.43%,687.85%,-,-,-,-,-,-,-5.40%,-,-,19.28%,-,0.49,-,-,-,-,-,-,-,-,-,-,-1.45%,-3.73%,-18.74%,-18.37%,3.14%,1.07%,-1.56%,-1.33%,-8.75%,-26.66%,10.84%,43.00,-,10.84,-,
